Soil Moisture,Temperature,Humidity,Time,Status
41,23,67,5,ON
58,42,68,21,ON
73,10,23,21,OFF
84,2,57,62,OFF
90,19,64,55,ON
90,44,44,30,OFF
29,35,34,76,ON
65,5,35,13,OFF
70,0,37,3,OFF
70,32,51,62,ON
6,8,59,109,OFF
86,1,50,92,OFF
90,17,22,11,OFF
22,32,67,34,ON
7,24,35,56,ON
73,32,48,106,OFF
78,23,29,106,OFF
26,26,22,54,ON
2,28,70,106,OFF
48,5,34,44,ON
31,45,67,79,ON
4,7,56,78,ON
71,22,64,21,OFF
74,6,47,73,OFF
58,20,31,67,OFF
76,3,70,78,OFF
78,36,44,99,OFF
5,14,41,88,ON
8,32,38,110,OFF
31,6,40,94,OFF
30,34,53,78,ON
58,25,37,27,ON
28,9,66,19,ON
19,16,32,22,OFF
26,15,45,84,ON
51,37,65,10,ON
4,45,67,110,OFF
80,25,63,19,OFF
68,24,45,17,OFF
8,9,41,16,OFF
53,35,21,75,ON
79,32,66,19,OFF
68,5,63,10,OFF
76,37,59,32,OFF
34,18,38,49,ON
28,0,66,10,OFF
62,36,25,4,ON
88,27,54,63,ON
1,23,39,66,ON
25,0,48,14,OFF
40,2,46,30,ON
77,22,58,100,OFF
66,22,48,87,ON
52,21,36,8,ON
84,34,37,98,OFF
26,7,39,21,ON
38,34,40,34,ON
48,24,68,19,ON
12,20,43,108,OFF
51,0,46,2,OFF
83,26,36,86,ON
64,3,57,84,OFF
35,10,69,15,ON
81,17,53,17,OFF
47,15,28,107,OFF
18,40,38,32,ON
54,40,39,44,ON
60,18,43,42,ON
20,38,63,21,ON
39,16,20,82,OFF
19,17,51,5,ON
61,16,50,84,OFF
40,28,52,9,ON
37,4,30,69,OFF
61,14,61,83,OFF
70,8,43,44,OFF
40,43,68,20,ON
84,6,33,57,ON
60,30,58,79,ON
5,29,37,92,OFF
8,25,66,66,ON
58,44,52,23,ON
1,27,69,69,ON
65,7,35,108,OFF
50,35,65,109,OFF
2,15,65,94,OFF
28,17,57,19,OFF
56,13,43,81,ON
35,29,55,101,OFF
16,8,57,58,ON
90,7,62,4,OFF
33,44,29,31,ON
40,38,58,32,ON
75,15,56,51,OFF
43,41,51,87,ON
87,15,54,47,OFF
90,44,29,35,OFF
67,27,30,9,ON
83,24,46,59,ON
85,12,41,55,ON
62,23,47,22,OFF
88,38,46,101,OFF
10,30,70,61,ON
20,39,50,97,OFF
62,12,51,36,OFF
50,26,28,102,OFF
35,45,64,11,ON
83,20,53,49,OFF
5,0,61,2,OFF
27,12,57,99,OFF
34,21,37,48,ON
32,3,58,4,OFF
30,28,31,91,OFF
63,8,20,60,OFF
61,20,54,96,OFF
60,36,22,40,ON
54,24,41,55,ON
71,26,24,4,OFF
14,45,54,89,ON
39,15,21,26,ON
40,37,62,36,ON
50,1,41,99,OFF
73,9,34,100,OFF
37,41,34,73,ON
43,0,66,69,OFF
76,29,44,9,OFF
53,36,42,108,OFF
71,9,55,82,OFF
26,9,65,53,ON
12,41,36,44,ON
67,13,35,93,OFF
17,45,53,85,ON
26,38,70,75,ON
78,39,34,63,ON
30,27,57,104,OFF
20,5,38,50,ON
79,28,61,107,OFF
40,17,42,49,ON
10,11,53,82,ON
84,8,55,93,OFF
11,8,32,110,OFF
63,28,38,95,OFF
40,2,40,101,OFF
33,37,34,62,ON
75,11,64,107,OFF
24,30,57,3,ON
65,15,53,94,OFF
35,25,46,94,OFF
44,15,33,68,ON
39,1,45,96,OFF
13,35,24,58,ON
20,45,59,95,OFF
82,0,65,107,OFF
72,5,53,46,OFF
56,30,36,35,ON
14,44,26,94,OFF
25,10,57,24,ON
13,6,52,71,ON
43,43,37,91,OFF
62,1,66,98,OFF
56,36,47,60,ON
60,10,25,41,OFF
89,7,56,35,OFF
46,23,23,41,ON
8,29,32,7,ON
13,10,41,63,ON
55,35,35,16,ON
65,27,44,62,ON
34,33,66,5,ON
55,17,35,51,ON
32,10,40,79,ON
60,38,47,41,ON
80,21,48,9,OFF
22,16,39,97,OFF
2,21,51,62,ON
31,8,26,33,OFF
59,11,50,40,OFF
27,6,53,75,OFF
42,40,54,102,OFF
19,31,68,54,ON
37,43,41,37,ON
17,16,47,55,ON
42,22,62,38,ON
90,39,46,61,ON
27,9,35,26,OFF
12,1,40,96,OFF
26,13,43,90,ON
35,19,52,95,OFF
84,45,36,65,ON
44,43,66,107,OFF
90,28,63,78,OFF
6,15,40,47,ON
70,23,53,20,OFF
76,18,26,34,OFF
7,3,61,59,ON
87,12,58,5,OFF
86,33,61,66,ON
64,28,46,49,ON
15,38,53,90,ON
18,44,32,84,ON
50,24,29,53,OFF
36,11,50,99,OFF
81,32,46,52,ON
66,38,22,105,OFF
86,4,66,1,OFF
5,0,69,104,OFF
85,28,61,20,OFF
14,12,41,73,ON
32,34,45,50,ON
3,42,23,21,ON
20,19,46,75,ON
53,12,68,36,ON
9,34,47,58,ON
6,32,26,55,ON
79,8,47,48,OFF
76,39,27,69,ON
77,23,27,108,OFF
63,45,37,13,OFF
3,5,42,7,OFF
40,3,20,63,OFF
31,20,34,96,OFF
90,5,49,2,OFF
8,27,37,27,ON
37,1,22,96,OFF
22,4,65,25,ON
70,30,60,99,OFF
84,32,29,107,OFF
29,39,53,98,OFF
18,15,33,103,OFF
82,11,25,93,OFF
86,29,48,58,ON
12,21,32,109,OFF
64,11,32,90,ON
16,20,32,60,ON
47,9,31,57,OFF
51,16,70,17,ON
5,5,23,49,ON
90,19,56,38,OFF
32,0,25,90,OFF
16,22,70,40,ON
42,30,52,91,OFF
86,32,50,34,OFF
86,9,69,17,OFF
80,3,34,30,OFF
58,43,58,36,ON
90,37,40,60,ON
78,44,70,72,ON
38,26,24,73,ON
39,23,45,60,ON
9,8,31,103,OFF
73,37,22,35,OFF
77,0,50,72,OFF
16,17,61,12,OFF
56,37,55,68,ON
8,4,37,56,ON
27,45,20,92,OFF
29,8,68,64,ON
17,10,64,88,ON
60,43,48,64,ON
20,15,40,57,ON
82,43,39,102,OFF
59,25,61,96,OFF
46,13,56,54,OFF
35,37,30,87,ON
67,39,60,0,ON
76,37,46,60,ON
2,45,59,70,ON
20,30,21,104,OFF
36,29,39,62,ON
86,24,42,93,OFF
7,5,44,92,OFF
82,34,64,4,OFF
20,27,27,67,ON
65,27,34,19,OFF
32,11,53,54,OFF
72,7,32,51,ON
73,44,39,79,ON
8,32,48,15,ON
7,31,39,58,ON
58,17,60,94,OFF
68,12,25,65,OFF
65,37,58,15,OFF
31,37,29,11,ON
54,42,44,80,ON
12,32,56,93,OFF
78,37,54,70,ON
72,16,30,105,OFF
17,33,69,65,ON
11,41,23,110,OFF
64,9,26,110,OFF
72,44,24,93,OFF
22,18,57,51,OFF
36,38,31,75,ON
18,17,40,10,OFF
84,42,67,85,ON
21,45,55,39,ON
56,20,33,36,ON
73,4,67,61,ON
79,21,63,30,OFF
56,27,25,45,ON
82,43,59,87,ON
77,42,42,15,OFF
79,16,58,86,OFF
10,44,38,45,ON
57,6,28,48,OFF
68,17,62,69,OFF
46,1,58,28,OFF
83,16,31,82,OFF
26,23,60,107,OFF
78,24,45,81,ON
7,29,48,22,ON
48,2,52,97,OFF
34,0,33,55,OFF
48,3,36,71,OFF
5,27,29,47,ON
15,36,37,52,ON
48,2,59,69,OFF
48,41,21,19,ON
74,24,25,101,OFF
10,42,35,99,OFF
23,0,58,43,OFF
35,3,53,1,OFF
74,3,42,26,OFF
17,16,57,21,OFF
37,4,31,68,OFF
77,6,59,68,OFF
44,2,53,0,OFF
62,8,55,57,OFF
70,24,41,5,OFF
19,2,27,70,ON
9,44,66,90,ON
50,35,37,78,ON
65,41,63,62,ON
9,24,20,34,ON
42,10,35,17,ON
22,17,69,43,ON
57,17,55,13,ON
25,44,25,94,OFF
25,34,51,59,ON
16,16,52,28,OFF
79,45,27,93,OFF
84,7,25,61,OFF
2,31,29,40,ON
33,26,28,99,OFF
80,29,31,32,OFF
86,34,36,71,ON
30,24,60,110,OFF
86,27,46,98,OFF
1,18,37,59,ON
45,7,26,15,ON
53,6,20,98,OFF
39,34,34,6,ON
2,20,24,47,ON
50,23,24,47,OFF
41,5,60,10,ON
76,7,25,51,OFF
11,7,30,65,ON
59,5,44,97,OFF
80,43,33,98,OFF
21,36,35,72,ON
37,16,25,57,OFF
20,35,59,85,ON
74,7,43,101,OFF
52,19,34,3,ON
17,26,66,70,ON
20,37,45,20,ON
31,2,22,102,OFF
5,43,23,42,ON
61,1,32,73,ON
70,35,29,78,ON
62,28,39,66,ON
55,40,33,27,ON
65,14,56,3,ON
83,33,59,19,OFF
52,7,47,14,ON
40,44,58,29,ON
87,0,69,82,OFF
77,17,20,50,OFF
74,7,50,23,OFF
36,14,55,96,OFF
3,1,32,26,OFF
12,42,53,30,ON
54,26,33,8,ON
32,45,54,105,OFF
28,24,37,66,ON
89,41,57,85,ON
60,21,59,101,OFF
55,19,29,79,OFF
85,35,27,90,ON
80,38,64,89,ON
74,32,20,108,OFF
24,5,66,50,ON
29,43,60,62,ON
49,41,31,30,ON
43,18,39,0,ON
5,28,62,9,ON
71,14,67,76,ON
49,24,45,48,ON
40,10,32,106,OFF
21,23,28,95,OFF
17,11,40,83,ON
13,31,35,82,ON
59,28,32,33,ON
63,38,35,92,OFF
82,26,58,67,OFF
75,12,25,16,OFF
57,31,66,20,ON
83,21,62,29,OFF
39,45,61,47,ON
65,23,23,64,ON
54,38,63,46,ON
10,28,61,103,OFF
8,27,53,41,ON
28,29,47,102,OFF
19,33,31,22,ON
70,28,24,43,ON
31,12,32,60,ON
83,22,61,2,OFF
6,41,56,103,OFF
29,11,29,10,ON
72,24,46,19,OFF
14,27,60,87,ON
31,23,70,34,ON
7,17,57,99,OFF
34,11,25,103,OFF
39,9,57,93,OFF
88,15,52,78,OFF
12,44,42,88,ON
90,29,53,61,ON
26,22,35,1,ON
11,27,25,5,ON
74,17,23,39,OFF
71,15,23,104,OFF
43,43,32,73,ON
84,32,34,20,OFF
44,19,31,88,OFF
42,24,20,75,ON
20,37,57,46,ON
36,17,22,98,OFF
26,2,32,14,ON
20,44,55,97,OFF
11,41,21,19,ON
49,19,47,104,OFF
49,16,25,10,ON
39,37,33,21,ON
83,32,22,56,ON
40,34,55,2,ON
2,25,22,13,ON
85,24,25,71,OFF
35,20,61,1,ON
36,32,60,61,ON
75,31,44,0,OFF
71,12,33,15,OFF
81,28,37,48,ON
18,36,49,17,ON
21,25,46,89,ON
46,19,42,108,OFF
60,25,40,24,OFF
12,28,32,100,OFF
13,0,60,72,ON
82,11,20,47,OFF
27,41,59,50,ON
9,2,62,16,ON
62,7,68,75,ON
82,31,30,2,OFF
51,35,52,79,ON
61,0,53,79,OFF
89,12,34,19,OFF
56,5,39,4,OFF
13,37,28,1,ON
19,38,51,22,ON
90,22,27,13,OFF
60,41,20,103,OFF
39,7,56,78,OFF
72,15,43,86,ON
90,37,57,105,OFF
44,34,36,35,ON
73,19,42,21,OFF
71,27,69,53,ON
55,36,47,110,OFF
70,7,39,28,OFF
35,25,66,21,ON
25,33,45,6,ON
26,14,61,10,ON
53,36,24,33,ON
86,3,51,54,OFF
2,5,65,94,OFF
28,21,48,57,ON
15,37,53,81,ON
36,17,62,81,OFF
35,34,34,46,ON
54,22,59,12,ON
72,25,50,98,OFF
86,44,48,51,ON
34,14,37,40,ON
36,29,54,105,OFF
55,23,70,28,ON
42,7,34,58,ON
28,40,44,10,ON
44,37,46,65,ON
5,28,30,49,ON
42,9,56,61,OFF
81,15,22,26,OFF
4,33,53,97,OFF
63,28,21,50,ON
3,26,20,35,ON
88,41,64,95,OFF
10,40,53,72,ON
35,24,35,90,ON
19,23,36,55,ON
70,9,39,54,ON
34,37,38,83,ON
61,41,64,1,ON
40,38,58,37,ON
70,32,64,107,OFF
26,37,65,65,ON
31,24,48,85,ON
74,2,43,22,OFF
30,25,53,66,ON
47,2,33,64,ON
14,8,51,33,OFF
88,41,45,37,OFF
52,7,66,84,ON
66,2,58,76,OFF
44,23,60,35,ON
74,1,49,10,OFF
89,29,40,106,OFF
32,29,54,95,OFF
33,8,59,80,OFF
55,28,44,44,ON
5,35,30,8,ON
84,5,33,87,ON
30,27,34,103,OFF
81,12,48,16,OFF
66,37,50,9,ON
56,40,33,58,ON
89,44,68,56,ON
43,14,41,54,ON
52,45,26,20,ON
40,24,32,23,OFF
35,43,67,21,ON
65,14,28,65,OFF
30,37,30,98,OFF
63,41,43,0,ON
58,25,68,18,ON
45,41,49,30,ON
19,28,55,30,ON
2,13,43,102,OFF
37,3,62,89,OFF
71,34,38,86,ON
30,19,55,52,OFF
55,19,70,110,OFF
6,21,49,25,ON
74,0,58,48,OFF
8,6,57,5,OFF
21,36,49,105,OFF
66,24,61,31,OFF
88,24,42,24,OFF
66,36,50,35,OFF
61,25,31,97,OFF
81,31,43,74,ON
53,4,42,3,OFF
57,36,27,17,ON
12,9,29,41,ON
84,38,48,100,OFF
68,7,49,4,OFF
1,8,63,17,OFF
65,29,67,67,ON
48,5,45,73,OFF
67,8,26,4,OFF
71,28,43,28,OFF
51,25,34,77,ON
30,35,51,103,OFF
2,22,46,37,ON
37,30,63,89,OFF
43,37,32,100,OFF
50,29,56,78,ON
17,3,46,87,ON
90,35,32,9,OFF
23,8,60,97,OFF
22,9,69,27,ON
37,34,66,84,ON
37,2,56,11,ON
89,25,42,4,OFF
38,41,37,36,ON
88,21,29,29,OFF
12,28,37,62,ON
48,20,49,55,ON
87,0,44,64,OFF
80,11,22,20,OFF
62,29,68,31,OFF
46,22,42,80,ON
88,9,57,1,OFF
22,11,38,37,ON
19,27,63,96,OFF
33,20,39,77,ON
68,40,60,77,ON
49,44,50,43,ON
6,38,25,70,ON
10,23,63,18,ON
8,1,26,66,ON
20,44,24,29,ON
39,31,20,49,ON
28,41,55,6,ON
58,17,61,33,ON
47,1,36,94,OFF
90,17,31,53,OFF
3,2,39,58,ON
88,41,30,75,ON
85,6,53,36,OFF
75,27,56,63,ON
38,3,30,56,OFF
49,3,43,37,ON
68,35,69,39,OFF
69,21,55,4,ON
51,43,50,69,ON
48,18,23,93,OFF
53,2,29,96,OFF
22,13,43,66,ON
15,9,69,21,ON
41,32,64,17,ON
79,31,20,28,OFF
33,24,58,49,OFF
50,31,68,78,ON
30,27,27,85,ON
46,40,63,62,ON
71,5,20,69,OFF
78,45,29,4,OFF
73,19,49,81,ON
14,4,50,104,OFF
59,20,51,30,ON
15,38,58,70,ON
81,21,60,29,OFF
54,42,63,42,ON
60,34,33,54,ON
42,1,29,54,OFF
49,10,35,98,OFF
55,27,24,9,ON
43,27,36,55,ON
48,16,42,57,ON
35,32,50,28,ON
76,17,35,22,OFF
20,37,47,9,ON
5,20,48,48,ON
48,4,60,97,OFF
53,27,23,0,ON
18,11,58,56,ON
71,24,25,35,OFF
7,2,62,0,OFF
89,22,34,13,OFF
85,11,23,52,OFF
71,41,68,3,OFF
85,26,30,9,OFF
2,37,55,98,OFF
29,36,52,77,ON
60,18,48,14,OFF
46,21,23,38,ON
89,10,51,77,OFF
76,20,49,2,OFF
72,36,23,59,ON
18,15,29,24,ON
29,9,47,17,OFF
56,20,45,62,ON
59,39,34,85,ON
45,42,65,51,ON
31,2,64,40,ON
2,2,28,51,ON
74,9,24,9,OFF
48,3,64,4,OFF
1,38,62,100,OFF
43,9,53,30,OFF
28,0,42,6,OFF
30,14,65,24,ON
20,7,37,104,OFF
14,40,69,36,ON
86,22,56,38,OFF
47,40,69,9,ON
28,44,45,50,ON
27,27,57,5,ON
84,44,32,41,ON
32,37,46,51,ON
56,27,59,65,ON
53,4,32,29,ON
79,23,67,88,ON
37,45,63,20,ON
23,29,23,6,ON
25,4,23,10,ON
43,39,46,92,OFF
43,33,51,69,ON
44,10,69,77,ON
69,37,47,5,ON
30,15,43,50,ON
71,21,36,76,ON
59,15,43,89,ON
54,28,50,65,ON
66,20,34,47,ON
76,6,53,87,OFF
13,32,40,6,ON
55,2,50,88,OFF
45,19,68,13,ON
60,19,34,2,ON
10,38,28,34,ON
39,24,27,92,OFF
67,34,39,16,OFF
67,31,26,25,OFF
9,0,49,30,OFF
74,0,64,92,OFF
43,45,35,29,ON
5,35,56,55,ON
60,42,46,98,OFF
22,28,25,35,ON
78,1,70,45,OFF
15,19,30,52,ON
63,38,48,17,OFF
64,15,65,24,OFF
79,33,45,82,ON
59,33,52,47,ON
31,44,21,9,ON
17,0,49,24,OFF
87,0,69,3,OFF
89,42,32,42,ON
66,4,25,33,OFF
56,24,40,48,ON
14,1,57,63,ON
19,31,63,24,ON
3,37,29,29,ON
71,31,68,54,ON
74,16,37,50,ON
21,35,57,80,ON
87,10,43,13,OFF
22,22,59,96,OFF
86,11,30,78,OFF
3,24,68,95,OFF
31,16,69,3,ON
16,32,62,87,ON
87,4,28,40,OFF
4,12,44,10,ON
54,30,67,49,ON
11,39,62,27,ON
41,21,23,58,OFF
89,27,20,34,OFF
2,35,23,8,ON
76,42,39,86,ON
29,6,60,52,OFF
9,32,29,96,OFF
67,27,52,110,OFF
78,9,68,48,ON
12,10,34,100,OFF
22,42,35,63,ON
40,5,65,32,ON
85,24,42,99,OFF
54,18,29,9,ON
76,37,28,63,ON
30,9,49,7,OFF
28,14,70,12,ON
33,6,31,33,ON
47,36,39,53,ON
27,42,27,68,ON
73,8,49,17,OFF
7,44,69,93,OFF
49,18,56,86,OFF
83,20,51,2,OFF
8,5,40,41,ON
85,44,31,47,ON
36,25,36,44,ON
18,38,31,52,ON
66,3,69,31,OFF
89,23,58,23,OFF
48,33,51,51,ON
57,10,37,78,ON
1,11,62,7,ON
53,23,56,56,OFF
37,21,34,20,ON
65,6,25,98,OFF
35,9,41,15,OFF
23,38,21,61,ON
69,15,63,81,OFF
45,3,41,74,OFF
7,45,25,34,ON
21,42,28,6,ON
36,6,41,25,ON
64,5,35,103,OFF
8,7,35,24,ON
59,30,41,55,ON
8,14,43,60,ON
19,42,40,7,ON
63,8,39,106,OFF
64,40,59,60,ON
81,39,60,38,OFF
3,39,20,43,ON
56,37,37,17,ON
41,31,39,34,ON
44,11,26,40,OFF
29,38,40,20,ON
43,6,51,26,ON
5,30,63,31,ON
2,41,38,80,ON
64,5,68,80,ON
45,40,31,100,OFF
68,45,49,1,ON
36,20,56,28,ON
78,32,28,51,ON
53,5,54,27,ON
53,34,35,87,ON
17,25,44,81,ON
32,36,58,105,OFF
39,26,59,93,OFF
18,35,43,15,ON
66,9,63,30,OFF
64,9,45,11,OFF
67,11,32,17,OFF
15,20,22,20,ON
19,11,46,12,ON
89,34,64,16,OFF
64,33,63,67,ON
42,32,70,34,ON
68,13,47,16,OFF
74,45,35,13,OFF
76,20,35,32,OFF
19,32,48,75,ON
16,19,20,108,OFF
41,10,22,47,OFF
90,13,66,95,OFF
3,27,55,4,ON
17,45,61,43,ON
89,31,29,71,ON
8,8,61,108,OFF
5,38,47,40,ON
10,1,30,89,ON
77,13,34,110,OFF
12,45,21,8,ON
83,30,59,86,ON
7,8,35,59,ON
57,9,33,52,ON
19,41,34,80,ON
80,18,39,93,OFF
77,8,28,89,OFF
36,35,31,28,ON
32,44,68,71,ON
60,5,28,34,OFF
6,10,21,2,OFF
42,36,56,17,ON
90,31,62,7,OFF
65,42,32,91,OFF
52,34,51,49,ON
71,19,20,2,OFF
32,39,35,22,ON
73,40,37,19,OFF
77,2,46,75,OFF
8,18,33,11,ON
61,12,63,9,ON
71,15,26,91,OFF
87,41,33,47,ON
70,33,26,64,ON
36,35,56,49,ON
15,10,36,19,ON
78,2,24,21,OFF
46,34,52,19,ON
41,30,21,6,ON
81,44,56,8,OFF
1,44,34,52,ON
83,28,67,34,OFF
40,40,53,52,ON
75,39,38,40,ON
35,15,64,87,ON
51,3,50,42,OFF
69,35,32,46,ON
87,10,55,97,OFF
89,10,57,94,OFF
31,0,27,14,OFF
66,15,47,11,OFF
48,16,22,20,ON
79,10,26,29,OFF
9,19,50,79,ON
52,33,64,14,ON
87,35,39,65,ON
1,24,50,11,OFF
48,44,32,10,ON
90,37,29,10,OFF
7,17,63,75,ON
59,26,27,64,OFF
7,3,41,26,ON
57,32,43,24,OFF
51,2,35,12,OFF
19,34,26,103,OFF
84,35,49,9,OFF
68,0,38,88,OFF
44,3,44,86,OFF
25,18,45,50,ON
37,22,48,6,ON
66,41,20,64,ON
80,20,42,1,OFF
9,15,43,79,ON
66,12,31,18,OFF
82,40,70,76,ON
36,1,46,108,OFF
55,31,63,107,OFF
82,21,61,101,OFF
55,45,50,76,ON
32,28,46,24,ON
90,14,28,89,OFF
65,21,24,35,OFF
71,43,53,92,OFF
3,25,63,1,ON
24,36,67,61,ON
15,16,63,59,ON
77,28,33,66,ON
82,38,49,13,OFF
1,36,51,52,ON
51,41,50,88,ON
10,39,66,63,ON
89,28,35,93,OFF
54,24,52,5,ON
70,17,25,53,OFF
71,38,44,36,OFF
59,34,48,28,ON
71,41,51,101,OFF
10,24,21,53,ON
65,8,30,101,OFF
68,7,70,18,OFF
54,40,64,109,OFF
49,26,41,2,ON
54,18,22,64,OFF
12,25,61,24,OFF
30,18,53,71,OFF
50,15,65,92,OFF
7,41,66,61,ON
16,33,59,85,ON
73,22,51,6,OFF
77,38,45,19,OFF
7,45,66,52,ON
52,36,26,52,ON
57,26,50,20,ON
9,45,28,14,ON
63,45,63,8,ON
1,31,54,107,OFF
9,30,35,10,ON
17,29,64,58,ON
44,28,56,109,OFF
89,38,52,4,OFF
64,16,41,51,ON
14,12,36,10,ON
13,14,21,53,ON
52,31,52,0,ON
57,18,31,82,OFF
7,39,60,63,ON
39,21,49,21,ON
78,35,21,12,OFF
47,20,41,31,ON
62,22,33,69,ON
13,28,31,56,ON
80,35,61,58,ON
32,16,28,3,ON
90,17,38,49,ON
75,24,21,19,OFF
10,14,39,100,OFF
55,13,44,88,ON
73,0,23,45,OFF
29,43,22,34,ON
24,22,40,41,ON
30,26,67,22,ON
19,28,34,32,ON
29,21,48,66,ON
42,44,22,29,ON
31,6,43,42,OFF
48,42,45,91,OFF
62,43,26,103,OFF
12,13,63,106,OFF
85,27,40,7,OFF
9,18,23,3,ON
45,45,28,63,ON
86,11,40,98,OFF
47,16,67,3,ON
45,9,50,84,OFF
60,21,38,33,OFF
77,12,62,78,OFF
56,15,60,16,ON
8,37,20,54,ON
8,23,26,1,ON
35,32,22,84,ON
6,36,55,53,ON
72,27,66,39,OFF
8,43,51,76,ON
76,18,26,53,OFF
34,8,29,8,OFF
63,43,22,3,ON
14,3,65,10,ON
74,9,35,47,ON
41,6,26,11,ON
90,22,53,93,OFF
44,6,28,107,OFF
12,33,27,55,ON
13,18,53,61,ON
21,29,67,40,ON
69,27,69,44,ON
60,33,49,49,ON
84,16,42,74,ON
21,45,33,40,ON
62,34,21,39,OFF
67,19,21,66,OFF
69,36,42,109,OFF
55,9,54,66,OFF
78,37,60,34,OFF
30,37,49,37,ON
67,43,68,91,OFF
58,40,44,108,OFF
66,24,34,0,ON
70,31,64,10,OFF
2,9,29,106,OFF
20,12,29,109,OFF
79,4,69,30,OFF
80,37,54,82,ON
72,5,27,10,OFF
60,34,42,33,OFF
16,6,26,6,OFF
9,29,56,2,ON
39,22,22,0,ON
83,45,50,50,ON
39,13,69,64,ON
55,30,63,47,OFF
24,43,35,10,ON
69,2,35,104,OFF
62,45,62,44,ON
18,16,21,110,OFF
35,17,29,2,ON
59,16,51,62,OFF
30,33,61,47,ON
37,8,55,106,OFF
51,14,47,8,ON
42,36,56,6,ON
57,38,45,28,ON
61,18,31,24,OFF
68,3,59,0,OFF
21,13,68,25,ON
43,16,35,62,ON
6,5,54,65,ON
66,6,27,59,OFF
87,23,25,78,OFF
18,39,34,92,OFF
67,28,40,107,OFF
79,2,49,101,OFF
42,38,24,77,ON
11,12,53,87,ON
9,44,70,53,ON
21,18,26,49,OFF
57,7,32,81,ON
52,36,55,71,ON
89,28,65,60,ON
1,22,58,5,ON
77,13,49,109,OFF
85,19,42,35,OFF
38,32,28,73,ON
9,0,21,24,OFF
10,0,43,94,OFF
27,17,57,105,OFF
31,5,41,31,ON
24,17,70,25,ON
6,33,64,48,ON
67,29,23,45,ON
46,44,37,45,ON
3,25,48,83,ON
12,35,29,48,ON
73,21,26,61,OFF
74,32,47,25,OFF
72,37,69,1,OFF
87,13,64,2,OFF
1,26,29,63,ON
